Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
50,0.1,54.844,0.018233,3.7709,3.7727,12.679,72.533,75.328,1542.6,-0.20625,546.52,0.64062,liquid
51,0.1,54.819,0.018242,3.8462,3.848,12.911,72.445,75.333,1543.6,-0.20568,537.47,0.64173,liquid
52,0.1,54.793,0.01825,3.9216,3.9234,13.143,72.357,75.339,1544.7,-0.20512,528.66,0.64283,liquid
53,0.1,54.767,0.018259,3.9969,3.9987,13.375,72.268,75.345,1545.6,-0.20456,520.09,0.64391,liquid
54,0.1,54.741,0.018268,4.0722,4.0741,13.605,72.179,75.351,1546.5,-0.204,511.75,0.64497,liquid
55,0.1,54.714,0.018277,4.1476,4.1494,13.835,72.09,75.357,1547.4,-0.20344,503.62,0.64602,liquid
56,0.1,54.687,0.018286,4.223,4.2248,14.065,72,75.364,1548.2,-0.20288,495.71,0.64705,liquid
57,0.1,54.66,0.018295,4.2983,4.3001,14.293,71.91,75.371,1549,-0.20233,488,0.64806,liquid
58,0.1,54.632,0.018304,4.3737,4.3755,14.521,71.819,75.378,1549.7,-0.20177,480.49,0.64906,liquid
59,0.1,54.604,0.018314,4.4491,4.4509,14.749,71.728,75.385,1550.3,-0.20122,473.17,0.65004,liquid
60,0.1,54.576,0.018323,4.5245,4.5263,14.975,71.637,75.393,1551,-0.20067,466.03,0.651,liquid
61,0.1,54.547,0.018333,4.5999,4.6017,15.201,71.546,75.401,1551.5,-0.20012,459.08,0.65195,liquid
62,0.1,54.518,0.018343,4.6753,4.6771,15.427,71.454,75.409,1552.1,-0.19957,452.29,0.65288,liquid
63,0.1,54.489,0.018352,4.7507,4.7525,15.651,71.362,75.418,1552.6,-0.19902,445.67,0.65379,liquid
64,0.1,54.459,0.018362,4.8261,4.8279,15.875,71.27,75.427,1553,-0.19847,439.21,0.65469,liquid
65,0.1,54.429,0.018373,4.9015,4.9034,16.099,71.177,75.436,1553.4,-0.19792,432.9,0.65557,liquid
66,0.1,54.399,0.018383,4.977,4.9788,16.321,71.085,75.445,1553.8,-0.19737,426.75,0.65644,liquid
67,0.1,54.368,0.018393,5.0524,5.0543,16.544,70.992,75.455,1554.1,-0.19682,420.74,0.65729,liquid
68,0.1,54.337,0.018404,5.1279,5.1297,16.765,70.899,75.465,1554.3,-0.19627,414.87,0.65813,liquid
69,0.1,54.306,0.018414,5.2033,5.2052,16.986,70.805,75.475,1554.6,-0.19572,409.14,0.65895,liquid
70,0.1,54.274,0.018425,5.2788,5.2807,17.206,70.712,75.485,1554.7,-0.19518,403.55,0.65976,liquid
71,0.1,54.242,0.018436,5.3543,5.3562,17.426,70.618,75.496,1554.9,-0.19463,398.08,0.66055,liquid
72,0.1,54.21,0.018447,5.4298,5.4317,17.645,70.524,75.507,1555,-0.19408,392.74,0.66132,liquid
73,0.1,54.178,0.018458,5.5053,5.5072,17.863,70.43,75.518,1555.1,-0.19353,387.51,0.66208,liquid
74,0.1,54.145,0.018469,5.5808,5.5827,18.081,70.336,75.53,1555.1,-0.19298,382.41,0.66283,liquid
75,0.1,54.112,0.01848,5.6564,5.6582,18.299,70.242,75.542,1555.1,-0.19243,377.42,0.66356,liquid
76,0.1,54.079,0.018492,5.7319,5.7338,18.515,70.148,75.554,1555,-0.19188,372.53,0.66428,liquid
77,0.1,54.045,0.018503,5.8075,5.8093,18.731,70.054,75.566,1554.9,-0.19132,367.76,0.66498,liquid
78,0.1,54.011,0.018515,5.8831,5.8849,18.947,69.959,75.579,1554.8,-0.19077,363.09,0.66566,liquid
79,0.1,53.977,0.018526,5.9586,5.9605,19.162,69.865,75.592,1554.6,-0.19022,358.52,0.66634,liquid
80,0.1,53.943,0.018538,6.0342,6.0361,19.376,69.77,75.606,1554.4,-0.18966,354.05,0.66699,liquid
81,0.1,53.908,0.01855,6.1098,6.1117,19.59,69.676,75.619,1554.2,-0.1891,349.67,0.66764,liquid
82,0.1,53.873,0.018562,6.1855,6.1873,19.803,69.581,75.633,1553.9,-0.18855,345.39,0.66827,liquid
83,0.1,53.838,0.018574,6.2611,6.263,20.016,69.487,75.648,1553.6,-0.18799,341.2,0.66888,liquid
84,0.1,53.802,0.018587,6.3368,6.3386,20.228,69.392,75.663,1553.3,-0.18743,337.09,0.66948,liquid
85,0.1,53.766,0.018599,6.4124,6.4143,20.44,69.297,75.678,1552.9,-0.18686,333.08,0.67007,liquid
86,0.1,53.73,0.018612,6.4881,6.49,20.651,69.203,75.693,1552.5,-0.1863,329.14,0.67064,liquid
87,0.1,53.694,0.018624,6.5638,6.5657,20.861,69.108,75.709,1552,-0.18573,325.28,0.6712,liquid
88,0.1,53.657,0.018637,6.6395,6.6414,21.071,69.014,75.725,1551.5,-0.18517,321.5,0.67174,liquid
89,0.1,53.62,0.01865,6.7153,6.7171,21.281,68.919,75.741,1551,-0.1846,317.8,0.67227,liquid
90,0.1,53.583,0.018663,6.791,6.7929,21.489,68.825,75.758,1550.4,-0.18403,314.17,0.67279,liquid
91,0.1,53.545,0.018676,6.8668,6.8686,21.698,68.73,75.775,1549.9,-0.18345,310.62,0.67329,liquid
92,0.1,53.508,0.018689,6.9426,6.9444,21.906,68.636,75.793,1549.2,-0.18288,307.14,0.67378,liquid
93,0.1,53.47,0.018702,7.0184,7.0202,22.113,68.542,75.811,1548.6,-0.1823,303.72,0.67426,liquid
94,0.1,53.431,0.018716,7.0942,7.0961,22.32,68.447,75.829,1547.9,-0.18172,300.37,0.67472,liquid
95,0.1,53.393,0.018729,7.17,7.1719,22.526,68.353,75.847,1547.2,-0.18114,297.09,0.67517,liquid
96,0.1,53.354,0.018743,7.2459,7.2477,22.732,68.259,75.866,1546.5,-0.18055,293.86,0.6756,liquid
97,0.1,53.315,0.018756,7.3217,7.3236,22.937,68.165,75.886,1545.7,-0.17997,290.7,0.67602,liquid
98,0.1,53.276,0.01877,7.3976,7.3995,23.142,68.072,75.906,1544.9,-0.17938,287.61,0.67643,liquid
99,0.1,53.236,0.018784,7.4736,7.4754,23.346,67.978,75.926,1544,-0.17879,284.56,0.67683,liquid
99.606,0.1,53.212,0.018793,7.5196,7.5214,23.47,67.921,75.938,1543.5,-0.17843,282.75,0.67706,liquid
99.606,0.1,0.032769,30.517,45.138,48.19,132.57,28.01,37.444,471.99,67.038,12.218,0.024532,vapor
100,0.1,0.032732,30.551,45.15,48.205,132.61,27.987,37.411,472.28,66.638,12.234,0.024564,vapor
101,0.1,0.032637,30.64,45.178,48.242,132.71,27.93,37.331,472.99,65.647,12.272,0.024647,vapor
102,0.1,0.032543,30.728,45.206,48.279,132.81,27.878,37.255,473.7,64.691,12.311,0.02473,vapor
103,0.1,0.03245,30.817,45.235,48.317,132.91,27.828,37.184,474.4,63.765,12.349,0.024813,vapor
104,0.1,0.032357,30.905,45.263,48.354,133.01,27.782,37.117,475.1,62.868,12.388,0.024896,vapor
105,0.1,0.032265,30.993,45.291,48.391,133.11,27.738,37.053,475.8,61.997,12.426,0.024979,vapor
106,0.1,0.032174,31.081,45.32,48.428,133.2,27.697,36.993,476.49,61.151,12.465,0.025063,vapor
107,0.1,0.032083,31.169,45.348,48.465,133.3,27.658,36.935,477.18,60.327,12.504,0.025146,vapor
108,0.1,0.031993,31.257,45.376,48.502,133.4,27.621,36.88,477.86,59.525,12.543,0.02523,vapor
109,0.1,0.031904,31.344,45.404,48.539,133.5,27.586,36.828,478.55,58.743,12.581,0.025313,vapor
110,0.1,0.031815,31.432,45.432,48.575,133.59,27.553,36.778,479.22,57.98,12.62,0.025397,vapor
111,0.1,0.031726,31.52,45.46,48.612,133.69,27.522,36.73,479.9,57.234,12.659,0.025481,vapor
112,0.1,0.031639,31.607,45.488,48.649,133.78,27.491,36.684,480.57,56.505,12.698,0.025565,vapor
113,0.1,0.031551,31.694,45.516,48.685,133.88,27.463,36.64,481.24,55.793,12.737,0.025649,vapor
114,0.1,0.031465,31.782,45.544,48.722,133.97,27.435,36.597,481.91,55.095,12.775,0.025733,vapor
115,0.1,0.031378,31.869,45.572,48.759,134.07,27.409,36.556,482.58,54.412,12.814,0.025817,vapor
116,0.1,0.031293,31.956,45.6,48.795,134.16,27.384,36.517,483.24,53.743,12.853,0.025902,vapor
117,0.1,0.031208,32.043,45.627,48.832,134.25,27.36,36.479,483.9,53.088,12.892,0.025986,vapor
118,0.1,0.031123,32.13,45.655,48.868,134.35,27.337,36.443,484.56,52.445,12.931,0.026071,vapor
119,0.1,0.031039,32.217,45.683,48.905,134.44,27.315,36.407,485.22,51.815,12.97,0.026156,vapor
120,0.1,0.030956,32.304,45.711,48.941,134.53,27.293,36.373,485.87,51.196,13.009,0.02624,vapo
