"t, C","p, MPa","Density, kg/m3
L                     V",,"Enthalpy, kJ/kg
hL                     hV                      h",,,,"Entropy, kJ/(kg·K)
sL                      sV                     s",,,"Volume, cm3/g
vL                     vV",,
0.01,0.000 611 7,999.79,0.004 855,0.00,,2500.9,2500.9,0.000 00,9.1555,9.1555,1.000 21,"205,991",
1,0.000 657 1,999.85,0.005 196,4.18,,2502.7,2498.6,0.015 26,9.1291,9.1138,1.000 15,"192,439",
2,0.000 706 0,999.89,0.005 563,8.39,,2504.6,2496.2,0.030 61,9.1027,9.0720,1.000 11,"179,758",
3,0.000 758 1,999.92,0.005 952,12.60,,2506.4,2493.8,0.045 89,9.0765,9.0306,1.000 08,"168,008",
4,0.000 813 5,999.93,0.006 365,16.81,,2508.2,2491.4,0.061 10,9.0505,8.9894,1.000 07,"157,116",
5,0.000 872 6,999.92,0.006 802,21.02,,2510.1,2489.0,0.076 25,9.0248,8.9486,1.000 08,"147,011",
6,0.000 935 4,999.89,0.007 266,25.22,,2511.9,2486.7,0.091 34,8.9993,8.9080,1.000 11,"137,633",
7,0.001 002 1,999.86,0.007 757,29.43,,2513.7,2484.3,0.106 37,8.9741,8.8677,1.000 14,"128,923",
8,0.001 073 0,999.80,0.008 276,33.63,,2515.6,2481.9,0.121 33,8.9491,8.8278,1.000 20,"120,829",
9,0.001 148 3,999.74,0.008 826,37.82,,2517.4,2479.6,0.136 24,8.9243,8.7881,1.000 26,"113,304",
10,0.001 228 2,999.65,0.009 407,42.02,,2519.2,2477.2,0.151 09,8.8998,8.7487,1.000 35,"106,303",
11,0.001 313 0,999.56,0.010 021,46.22,,2521.0,2474.8,0.165 87,8.8754,8.7096,1.000 44,"99,787",
12,0.001 402 8,999.45,0.010 670,50.41,,2522.9,2472.5,0.180 61,8.8513,8.6707,1.000 55,"93,719",
13,0.001 498 1,999.33,0.011 355,54.60,,2524.7,2470.1,0.195 28,8.8274,8.6321,1.000 67,"88,064",
14,0.001 599 0,999.20,0.012 078,58.79,,2526.5,2467.7,0.209 90,8.8037,8.5938,1.000 80,"82,793",
15,0.001 705 8,999.06,0.012 841,62.98,,2528.3,2465.4,0.224 46,8.7803,8.5558,1.000 94,"77,875",
16,0.001 818 8,998.90,0.013 645,67.17,,2530.2,2463.0,0.238 97,8.7570,8.5180,1.001 10,"73,286",
17,0.001 938 4,998.73,0.014 493,71.36,,2532.0,2460.6,0.253 43,8.7339,8.4805,1.001 27,"69,001",
18,0.002 064 7,998.55,0.015 385,75.54,,2533.8,2458.3,0.267 83,8.7111,8.4433,1.001 45,"64,998",
19,0.002 198 3,998.36,0.016 325,79.73,,2535.6,2455.9,0.282 18,8.6884,8.4063,1.001 64,"61,256",
20,0.002 339 3,998.16,0.017 314,83.91,,2537.4,2453.5,0.296 48,8.6660,8.3695,1.001 84,"57,757",
21,0.002 488 2,997.95,0.018 354,88.10,,2539.3,2451.2,0.310 73,8.6437,8.3330,1.002 05,"54,483",
22,0.002 645 3,997.73,0.019 448,92.28,,2541.1,2448.8,0.324 93,8.6217,8.2967,1.002 28,"51,418",
23,0.002 811 1,997.50,0.020 598,96.46,,2542.9,2446.4,0.339 08,8.5998,8.2607,1.002 51,"48,548",
24,0.002 985 8,997.25,0.021 806,100.65,,2544.7,2444.0,0.353 18,8.5781,8.2250,1.002 75,"45,858",
25,0.003 169 9,997.00,0.023 075,104.83,,2546.5,2441.7,0.367 22,8.5566,8.1894,1.003 01,"43,337",
26,0.003 363 9,996.74,0.024 406,109.01,,2548.3,2439.3,0.381 23,8.5353,8.1541,1.003 27,"40,973",
27,0.003 568 1,996.47,0.025 804,113.19,,2550.1,2436.9,0.395 18,8.5142,8.1191,1.003 54,"38,754",
28,0.003 783 1,996.19,0.027 269,117.37,,2551.9,2434.6,0.409 08,8.4933,8.0842,1.003 82,"36,672",
29,0.004 009 2,995.90,0.028 805,121.55,,2553.7,2432.2,0.422 94,8.4725,8.0496,1.004 11,"34,716",
30,0.004 247 0,995.61,0.030 415,125.73,,2555.5,2429.8,0.436 75,8.4520,8.0152,1.004 41,"32,878",
31,0.004 496 9,995.30,0.032 102,129.91,,2557.3,2427.4,0.450 52,8.4316,7.9810,1.004 72,"31,151",
32,0.004 759 6,994.99,0.033 868,134.09,,2559.2,2425.1,0.464 24,8.4113,7.9471,1.005 04,"29,526",
33,0.005 035 4,994.66,0.035 717,138.27,,2561.0,2422.7,0.477 92,8.3913,7.9134,1.005 37,"27,998",
34,0.005 325 1,994.33,0.037 651,142.45,,2562.8,2420.3,0.491 55,8.3714,7.8799,1.005 70,"26,560",
35,0.005 629 0,993.99,0.039 674,146.63,,2564.5,2417.9,0.505 13,8.3517,7.8466,1.006 05,"25,205",
36,0.005 947 9,993.64,0.041 790,150.81,,2566.3,2415.5,0.518 67,8.3321,7.8135,1.006 40,"23,929",
37,0.006 282 3,993.29,0.044 001,154.99,,2568.1,2413.1,0.532 17,8.3127,7.7806,1.006 76,"22,727",
38,0.006 632 8,992.92,0.046 311,159.17,,2569.9,2410.8,0.545 62,8.2935,7.7479,1.007 13,"21,593",
39,0.007 000 2,992.55,0.048 723,163.35,,2571.7,2408.4,0.559 03,8.2745,7.7154,1.007 50,"20,524",
40,0.007 384 9,992.18,0.051 242,167.53,,2573.5,2406.0,0.572 40,8.2555,7.6831,1.007 89,"19,515",
41,0.007 787 8,991.79,0.053 871,171.71,,2575.3,2403.6,0.585 73,8.2368,7.6511,1.008 28,"18,563",
42,0.008 209 6,991.40,0.056 614,175.89,,2577.1,2401.2,0.599 01,8.2182,7.6192,1.008 68,"17,664",
43,0.008 650 8,991.00,0.059 474,180.07,,2578.9,2398.8,0.612 25,8.1998,7.5875,1.009 09,"16,814",
44,0.009 112 4,990.59,0.062 457,184.25,,2580.6,2396.4,0.625 45,8.1815,7.5560,1.009 50,"16,011",
45,0.009 595 0,990.17,0.065 565,188.43,,2582.4,2394.0,0.638 61,8.1633,7.5247,1.009 92,"15,252",
46,0.010 099,989.75,0.068 803,192.62,,2584.2,2391.6,0.651 73,8.1453,7.4936,1.010 36,"14,534",
47,0.010 627,989.32,0.072 176,196.80,,2586.0,2389.2,0.664 81,8.1275,7.4627,1.010 79,"13,855",
48,0.011 177,988.89,0.075 688,200.98,,2587.8,2386.8,0.677 85,8.1098,7.4320,1.011 24,"13,212",
49,0.011 752,988.44,0.079 343,205.16,,2589.5,2384.4,0.690 85,8.0922,7.4014,1.011 69,"12,603",
50,0.012 352,988.00,0.083 147,209.34,,2591.3,2381.9,0.703 81,8.0748,7.3710,1.012 15,"12,027",
51,0.012 978,987.54,0.087 103,213.52,,2593.1,2379.5,0.716 73,8.0576,7.3408,1.012 62,"11,481",
52,0.013 631,987.08,0.091 217,217.71,,2594.8,2377.1,0.729 61,8.0404,7.3108,1.013 09,"10,963",
53,0.014 312,986.61,0.095 494,221.89,,2596.6,2374.7,0.742 45,8.0234,7.2810,1.013 57,"10,472",
54,0.015 022,986.14,0.099 938,226.07,,2598.3,2372.3,0.755 26,8.0066,7.2513,1.014 06,"10,006",
55,0.015 762,985.66,0.104 56,230.26,,2600.1,2369.8,0.768 02,7.9898,7.2218,1.014 55,9564.3,
56,0.016 533,985.17,0.109 35,234.44,,2601.8,2367.4,0.780 75,7.9732,7.1925,1.015 05,9144.8,
57,0.017 336,984.68,0.114 33,238.62,,2603.6,2365.0,0.793 44,7.9568,7.1633,1.015 56,8746.6,
58,0.018 171,984.18,0.119 50,242.81,,2605.3,2362.5,0.806 10,7.9404,7.1343,1.016 08,8368.3,
59,0.019 041,983.67,0.124 86,246.99,,2607.1,2360.1,0.818 71,7.9242,7.1055,1.016 60,8008.9,
60,0.019 946,983.16,0.130 43,251.18,,2608.8,2357.7,0.831 29,7.9081,7.0769,1.017 13,7667.2,
61,0.020 888,982.64,0.136 20,255.37,,2610.6,2355.2,0.843 84,7.8922,7.0484,1.017 66,7342.4,
62,0.021 867,982.12,0.142 18,259.55,,2612.3,2352.8,0.856 34,7.8764,7.0200,1.018 21,7033.5,
63,0.022 885,981.59,0.148 38,263.74,,2614.0,2350.3,0.868 82,7.8607,6.9918,1.018 75,6739.6,
64,0.023 943,981.06,0.154 80,267.93,,2615.8,2347.8,0.881 25,7.8451,6.9638,1.019 31,6459.8,
65,0.025 042,980.52,0.161 46,272.12,,2617.5,2345.4,0.893 65,7.8296,6.9359,1.019 87,6193.5,
66,0.026 183,979.97,0.168 35,276.30,,2619.2,2342.9,0.906 02,7.8142,6.9082,1.020 44,5939.9,
67,0.027 368,979.42,0.175 49,280.49,,2621.0,2340.5,0.918 35,7.7990,6.8807,1.021 01,5698.4,
68,0.028 599,978.86,0.182 88,284.68,,2622.7,2338.0,0.930 64,7.7839,6.8532,1.021 59,5468.2,
69,0.029 876,978.30,0.190 52,288.87,,2624.4,2335.5,0.942 91,7.7689,6.8260,1.022 18,5248.8,
70,0.031 201,977.73,0.198 43,293.07,,2626.1,2333.0,0.955 13,7.7540,6.7989,1.022 77,5039.5,
71,0.032 575,977.16,0.206 61,297.26,,2627.8,2330.5,0.967 33,7.7392,6.7719,1.023 37,4840.0,
72,0.034 000,976.58,0.215 07,301.45,,2629.5,2328.1,0.979 49,7.7246,6.7451,1.023 98,4649.6,
73,0.035 478,976.00,0.223 82,305.64,,2631.2,2325.6,0.991 61,7.7100,6.7184,1.024 59,4468.0,
74,0.037 009,975.41,0.232 85,309.84,,2632.9,2323.1,1.0037,7.6955,6.6918,1.025 21,4294.5,
75,0.038 595,974.81,0.242 19,314.03,,2634.6,2320.6,1.0158,7.6812,6.6654,1.025 84,4128.9,
76,0.040 239,974.22,0.251 84,318.22,,2636.3,2318.1,1.0278,7.6670,6.6392,1.026 47,3970.8,
77,0.041 941,973.61,0.261 80,322.42,,2638.0,2315.6,1.0398,7.6528,6.6130,1.027 10,3819.7,
78,0.043 703,973.00,0.272 09,326.62,,2639.7,2313.0,1.0517,7.6388,6.5871,1.027 75,3675.2,
79,0.045 527,972.39,0.282 71,330.81,,2641.3,2310.5,1.0637,7.6249,6.5612,1.028 40,3537.2,
80,0.047 414,971.77,0.293 67,335.01,,2643.0,2308.0,1.0756,7.6111,6.5355,1.029 05,3405.2,
81,0.049 367,971.14,0.304 98,339.21,,2644.7,2305.5,1.0874,7.5973,6.5099,1.029 72,3278.9,
82,0.051 387,970.51,0.316 65,343.41,,2646.4,2302.9,1.0993,7.5837,6.4844,1.030 38,3158.1,
83,0.053 476,969.88,0.328 68,347.61,,2648.0,2300.4,1.1111,7.5702,6.4591,1.031 06,3042.5,
84,0.055 635,969.24,0.341 09,351.81,,2649.7,2297.9,1.1229,7.5567,6.4339,1.031 74,2931.8,
85,0.057 867,968.59,0.353 88,356.01,,2651.3,2295.3,1.1346,7.5434,6.4088,1.032 43,2825.8,
86,0.060 173,967.94,0.367 06,360.22,,2653.0,2292.8,1.1463,7.5302,6.3838,1.033 12,2724.4,
87,0.062 556,967.29,0.380 64,364.42,,2654.6,2290.2,1.1580,7.5170,6.3590,1.033 82,2627.1,
88,0.065 017,966.63,0.394 64,368.63,,2656.3,2287.6,1.1696,7.5040,6.3343,1.034 52,2534.0,
89,0.067 558,965.96,0.409 05,372.83,,2657.9,2285.1,1.1813,7.4910,6.3097,1.035 24,2444.7,
90,0.070 182,965.30,0.423 90,377.04,,2659.5,2282.5,1.1929,7.4781,6.2853,1.035 95,2359.1,
91,0.072 890,964.62,0.439 18,381.25,,2661.2,2279.9,1.2044,7.4653,6.2609,1.036 68,2277.0,
92,0.075 684,963.94,0.454 91,385.46,,2662.8,2277.3,1.2160,7.4526,6.2367,1.037 41,2198.2,
93,0.078 568,963.26,0.471 11,389.67,,2664.4,2274.7,1.2275,7.4400,6.2126,1.038 14,2122.7,
94,0.081 541,962.57,0.487 77,393.88,,2666.0,2272.1,1.2389,7.4275,6.1886,1.038 88,2050.2,
95,0.084 608,961.88,0.504 91,398.09,,2667.6,2269.5,1.2504,7.4151,6.1647,1.039 63,1980.6,
96,0.087 771,961.18,0.522 54,402.30,,2669.2,2266.9,1.2618,7.4027,6.1409,1.040 38,1913.7,
97,0.091 030,960.48,0.540 67,406.52,,2670.8,2264.3,1.2732,7.3904,6.1172,1.041 14,1849.6,
98,0.094 390,959.78,0.559 31,410.73,,2672.4,2261.7,1.2846,7.3783,6.0937,1.041 91,1787.9,
99,0.097 852,959.06,0.578 47,414.95,,2674.0,2259.0,1.2959,7.3661,6.0702,1.042 68,1728.7,
100,0.101 42,958.35,0.598 17,419.17,,2675.6,2256.4,1.3072,7.3541,6.0469,1.043 46,1671.8,
101,0.105 09,957.63,0.618 41,423.39,,2677.1,2253.8,1.3185,7.3422,6.0237,1.044 25,1617.1,
102,0.108 87,956.90,0.639 20,427.61,,2678.7,2251.1,1.3297,7.3303,6.0006,1.045 04,1564.4,
103,0.112 77,956.18,0.660 56,431.83,,2680.3,2248.5,1.3410,7.3185,5.9775,1.045 83,1513.9,
104,0.116 78,955.44,0.682 50,436.05,,2681.8,2245.8,1.3522,7.3068,5.9546,1.046 64,1465.2,
105,0.120 90,954.70,0.705 03,440.27,,2683.4,2243.1,1.3633,7.2952,5.9318,1.047 44,1418.4,
106,0.125 15,953.96,0.728 16,444.50,,2684.9,2240.4,1.3745,7.2836,5.9091,1.048 26,1373.3,
107,0.129 52,953.22,0.751 90,448.73,,2686.5,2237.7,1.3856,7.2721,5.8865,1.049 08,1330.0,
108,0.134 01,952.46,0.776 27,452.95,,2688.0,2235.1,1.3967,7.2607,5.8640,1.049 91,1288.2,
109,0.138 63,951.71,0.801 27,457.18,,2689.5,2232.4,1.4078,7.2493,5.8416,1.050 74,1248.0,
110,0.143 38,950.95,0.826 93,461.42,,2691.1,2229.6,1.4188,7.2381,5.8193,1.051 58,1209.3,
111,0.148 26,950.18,0.853 25,465.65,,2692.6,2226.9,1.4298,7.2269,5.7970,1.052 43,1172.0,
112,0.153 28,949.41,0.880 24,469.88,,2694.1,2224.2,1.4408,7.2157,5.7749,1.053 28,1136.1,
113,0.158 44,948.64,0.907 92,474.12,,2695.6,2221.5,1.4518,7.2047,5.7529,1.054 14,1101.4,
114,0.163 74,947.86,0.936 30,478.35,,2697.1,2218.7,1.4628,7.1937,5.7309,1.055 00,1068.0,
115,0.169 18,947.08,0.965 40,482.59,,2698.6,2216.0,1.4737,7.1828,5.7091,1.055 88,1035.8,
116,0.174 77,946.30,0.995 22,486.83,,2700.1,2213.2,1.4846,7.1719,5.6873,1.056 75,1004.8,
117,0.180 52,945.50,1.0258,491.08,,2701.5,2210.5,1.4954,7.1611,5.6657,1.057 64,974.86,
118,0.186 41,944.71,1.0571,495.32,,2703.0,2207.7,1.5063,7.1504,5.6441,1.058 53,945.98,
119,0.192 46,943.91,1.0892,499.56,,2704.5,2204.9,1.5171,7.1397,5.6226,1.059 42,918.11,
120,0.198 67,943.11,1.1221,503.81,,2705.9,2202.1,1.5279,7.1291,5.6012,1.060 33,891.21,
121,0.205 05,942.30,1.1557,508.06,,2707.4,2199.3,1.5387,7.1186,5.5799,1.061 23,865.25,
122,0.211 59,941.49,1.1902,512.31,,2708.8,2196.5,1.5494,7.1081,5.5587,1.062 15,840.19,
123,0.218 30,940.67,1.2255,516.56,,2710.3,2193.7,1.5602,7.0977,5.5375,1.063 07,815.98,
124,0.225 18,939.85,1.2617,520.82,,2711.7,2190.9,1.5709,7.0873,5.5165,1.064 00,792.61,
125,0.232 24,939.02,1.2987,525.07,,2713.1,2188.0,1.5816,7.0770,5.4955,1.064 94,770.03,
126,0.239 47,938.19,1.3365,529.33,,2714.5,2185.2,1.5922,7.0668,5.4746,1.065 88,748.21,
127,0.246 89,937.36,1.3753,533.59,,2715.9,2182.3,1.6029,7.0566,5.4538,1.066 83,727.13,
128,0.254 50,936.52,1.4149,537.85,,2717.3,2179.5,1.6135,7.0465,5.4330,1.067 78,706.75,
129,0.262 29,935.68,1.4555,542.12,,2718.7,2176.6,1.6241,7.0364,5.4124,1.068 74,687.05,
130,0.270 28,934.83,1.4970,546.38,,2720.1,2173.7,1.6346,7.0264,5.3918,1.069 71,668.00,
131,0.278 46,933.98,1.5394,550.65,,2721.5,2170.8,1.6452,7.0165,5.3713,1.070 68,649.59,
132,0.286 85,933.13,1.5828,554.92,,2722.8,2167.9,1.6557,7.0066,5.3509,1.071 66,631.77,
133,0.295 43,932.27,1.6272,559.19,,2724.2,2165.0,1.6662,6.9967,5.3305,1.072 65,614.54,
134,0.304 23,931.41,1.6726,563.47,,2725.5,2162.1,1.6767,6.9869,5.3102,1.073 65,597.86,
135,0.313 23,930.54,1.7190,567.74,,2726.9,2159.1,1.6872,6.9772,5.2900,1.074 65,581.73,
136,0.322 45,929.67,1.7664,572.02,,2728.2,2156.2,1.6976,6.9675,5.2699,1.075 66,566.11,
137,0.331 88,928.79,1.8149,576.30,,2729.5,2153.2,1.7081,6.9579,5.2498,1.076 67,550.99,
138,0.341 54,927.91,1.8644,580.59,,2730.8,2150.3,1.7185,6.9483,5.2298,1.077 69,536.36,
139,0.351 43,927.02,1.9150,584.87,,2732.1,2147.3,1.7289,6.9388,5.2099,1.078 72,522.18,
140,0.361 54,926.13,1.9667,589.16,,2733.4,2144.3,1.7392,6.9293,5.1901,1.079 76,508.45,
141,0.371 89,925.24,2.0196,593.45,,2734.7,2141.3,1.7496,6.9199,5.1703,1.080 80,495.16,
142,0.382 47,924.34,2.0735,597.74,,2736.0,2138.3,1.7599,6.9105,5.1506,1.081 85,482.27,
143,0.393 29,923.44,2.1286,602.04,,2737.3,2135.2,1.7702,6.9011,5.1309,1.082 91,469.79,
144,0.404 37,922.54,2.1849,606.34,,2738.5,2132.2,1.7805,6.8919,5.1114,1.083 97,457.69,
145,0.415 68,921.62,2.2423,610.64,,2739.8,2129.2,1.7907,6.8826,5.0919,1.085 04,445.96,
146,0.427 26,920.71,2.3010,614.94,,2741.0,2126.1,1.8010,6.8734,5.0724,1.086 12,434.59,
147,0.439 09,919.79,2.3609,619.25,,2742.3,2123.0,1.8112,6.8643,5.0530,1.087 20,423.57,
148,0.451 18,918.87,2.4220,623.56,,2743.5,2119.9,1.8214,6.8552,5.0337,1.088 30,412.88,
149,0.463 54,917.94,2.4844,627.87,,2744.7,2116.9,1.8316,6.8461,5.0145,1.089 40,402.51,
150,0.476 16,917.01,2.5481,632.18,,2745.9,2113.7,1.8418,6.8371,4.9953,1.090 50,392.45,
151,0.489 07,916.07,2.6130,636.50,,2747.1,2110.6,1.8520,6.8281,4.9761,1.091 62,382.69,
152,0.502 25,915.13,2.6793,640.81,,2748.3,2107.5,1.8621,6.8192,4.9571,1.092 74,373.23,
153,0.515 71,914.19,2.7470,645.14,,2749.5,2104.3,1.8722,6.8103,4.9380,1.093 87,364.04,
154,0.529 46,913.24,2.8160,649.46,,2750.7,2101.2,1.8823,6.8014,4.9191,1.095 01,355.12,
155,0.543 50,912.28,2.8863,653.79,,2751.8,2098.0,1.8924,6.7926,4.9002,1.096 15,346.46,
156,0.557 84,911.33,2.9581,658.12,,2753.0,2094.8,1.9025,6.7838,4.8814,1.097 30,338.05,
157,0.572 47,910.36,3.0313,662.45,,2754.1,2091.6,1.9125,6.7751,4.8626,1.098 46,329.89,
158,0.587 42,909.40,3.1059,666.79,,2755.2,2088.4,1.9225,6.7664,4.8439,1.099 63,321.96,
159,0.602 67,908.42,3.1821,671.13,,2756.3,2085.2,1.9326,6.7578,4.8252,1.100 81,314.26,
160,0.618 23,907.45,3.2596,675.47,,2757.4,2082.0,1.9426,6.7491,4.8066,1.101 99,306.78,
161,0.634 12,906.47,3.3387,679.82,,2758.5,2078.7,1.9525,6.7406,4.7880,1.103 18,299.51,
162,0.650 33,905.49,3.4194,684.17,,2759.6,2075.5,1.9625,6.7320,4.7695,1.104 38,292.45,
163,0.666 86,904.50,3.5016,688.52,,2760.7,2072.2,1.9725,6.7235,4.7511,1.105 59,285.59,
164,0.683 73,903.50,3.5853,692.88,,2761.8,2068.9,1.9824,6.7150,4.7327,1.106 80,278.92,
165,0.700 93,902.51,3.6707,697.24,,2762.8,2065.6,1.9923,6.7066,4.7143,1.108 03,272.43,
166,0.718 48,901.50,3.7576,701.60,,2763.9,2062.3,2.0022,6.6982,4.6960,1.109 26,266.12,
167,0.736 38,900.50,3.8462,705.96,,2764.9,2058.9,2.0121,6.6898,4.6778,1.110 50,259.99,
168,0.754 62,899.49,3.9365,710.33,,2765.9,2055.6,2.0220,6.6815,4.6596,1.111 75,254.03,
169,0.773 22,898.47,4.0285,714.71,,2766.9,2052.2,2.0318,6.6732,4.6414,1.113 00,248.23,
170,0.792 19,897.45,4.1222,719.08,,2767.9,2048.8,2.0417,6.6650,4.6233,1.114 27,242.59,
171,0.811 52,896.43,4.2176,723.46,,2768.9,2045.4,2.0515,6.6567,4.6053,1.115 54,237.10,
172,0.831 22,895.40,4.3148,727.85,,2769.9,2042.0,2.0613,6.6485,4.5872,1.116 82,231.76,
173,0.851 30,894.36,4.4138,732.23,,2770.8,2038.6,2.0711,6.6404,4.5693,1.118 11,226.56,
174,0.871 76,893.33,4.5146,736.63,,2771.8,2035.1,2.0809,6.6322,4.5514,1.119 41,221.50,
175,0.892 60,892.28,4.6172,741.02,,2772.7,2031.7,2.0906,6.6241,4.5335,1.120 72,216.58,
176,0.913 84,891.24,4.7217,745.42,,2773.6,2028.2,2.1004,6.6161,4.5157,1.122 04,211.79,
177,0.935 47,890.18,4.8281,749.82,,2774.5,2024.7,2.1101,6.6080,4.4979,1.123 36,207.12,
178,0.957 51,889.13,4.9364,754.23,,2775.4,2021.2,2.1198,6.6000,4.4802,1.124 70,202.58,
179,0.979 95,888.07,5.0466,758.64,,2776.3,2017.7,2.1296,6.5920,4.4625,1.126 04,198.15,
