"t, C","p, MPa","Density, kg/m3
180,1.0028,887.00,5.1588,763.05,,2777.2,2014.2,2.1392,6.5840,4.4448,1.127 40,193.84,
181,1.0261,885.93,5.2730,767.47,,2778.1,2010.6,2.1489,6.5761,4.4272,1.128 76,189.64,
182,1.0498,884.85,5.3893,771.90,,2778.9,2007.0,2.1586,6.5682,4.4096,1.130 13,185.55,
183,1.0739,883.77,5.5076,776.32,,2779.8,2003.4,2.1683,6.5603,4.3921,1.131 51,181.57,
184,1.0985,882.69,5.6279,780.75,,2780.6,1999.8,2.1779,6.5525,4.3746,1.132 90,177.69,
185,1.1235,881.60,5.7504,785.19,,2781.4,1996.2,2.1875,6.5447,4.3571,1.134 30,173.90,
186,1.1489,880.50,5.8750,789.63,,2782.2,1992.6,2.1971,6.5369,4.3397,1.135 71,170.21,
187,1.1748,879.40,6.0018,794.07,,2783.0,1988.9,2.2067,6.5291,4.3223,1.137 13,166.62,
188,1.2011,878.30,6.1308,798.52,,2783.8,1985.3,2.2163,6.5213,4.3050,1.138 56,163.11,
189,1.2280,877.19,6.2620,802.97,,2784.5,1981.6,2.2259,6.5136,4.2877,1.140 00,159.69,
190,1.2552,876.08,6.3954,807.43,,2785.3,1977.9,2.2355,6.5059,4.2704,1.141 45,156.36,
191,1.2830,874.96,6.5312,811.89,,2786.0,1974.1,2.2450,6.4982,4.2532,1.142 91,153.11,
192,1.3112,873.83,6.6692,816.36,,2786.7,1970.4,2.2546,6.4906,4.2360,1.144 38,149.94,
193,1.3399,872.70,6.8096,820.83,,2787.4,1966.6,2.2641,6.4830,4.2188,1.145 86,146.85,
194,1.3691,871.57,6.9524,825.31,,2788.1,1962.8,2.2736,6.4754,4.2017,1.147 36,143.83,
195,1.3988,870.43,7.0976,829.79,,2788.8,1959.0,2.2832,6.4678,4.1846,1.148 86,140.89,
196,1.4290,869.29,7.2453,834.28,,2789.5,1955.2,2.2926,6.4602,4.1676,1.150 37,138.02,
197,1.4597,868.14,7.3954,838.77,,2790.1,1951.4,2.3021,6.4527,4.1505,1.151 89,135.22,
198,1.4909,866.98,7.5480,843.26,,2790.8,1947.5,2.3116,6.4451,4.1335,1.153 43,132.48,
199,1.5227,865.82,7.7032,847.76,,2791.4,1943.6,2.3211,6.4376,4.1166,1.154 97,129.82,
200,1.5549,864.66,7.8610,852.27,,2792.0,1939.7,2.3305,6.4302,4.0996,1.156 53,127.21,
201,1.5877,863.49,8.0214,856.78,,2792.6,1935.8,2.3400,6.4227,4.0827,1.158 09,124.67,
202,1.6210,862.31,8.1844,861.30,,2793.2,1931.9,2.3494,6.4152,4.0658,1.159 67,122.18,
203,1.6549,861.13,8.3501,865.82,,2793.7,1927.9,2.3588,6.4078,4.0490,1.161 26,119.76,
204,1.6893,859.95,8.5186,870.35,,2794.3,1923.9,2.3683,6.4004,4.0322,1.162 86,117.39,
205,1.7243,858.76,8.6898,874.88,,2794.8,1919.9,2.3777,6.3930,4.0154,1.164 48,115.08,
206,1.7598,857.56,8.8638,879.42,,2795.3,1915.9,2.3871,6.3856,3.9986,1.166 10,112.82,
207,1.7959,856.36,9.0406,883.96,,2795.9,1911.9,2.3964,6.3783,3.9819,1.167 74,110.61,
208,1.8326,855.15,9.2203,888.51,,2796.3,1907.8,2.4058,6.3710,3.9651,1.169 39,108.46,
209,1.8698,853.94,9.4029,893.07,,2796.8,1903.7,2.4152,6.3636,3.9484,1.171 05,106.35,
210,1.9077,852.72,9.5885,897.63,,2797.3,1899.6,2.4245,6.3563,3.9318,1.172 72,104.29,
211,1.9461,851.49,9.7770,902.20,,2797.7,1895.5,2.4339,6.3490,3.9151,1.174 41,102.28,
212,1.9851,850.26,9.9686,906.77,,2798.1,1891.4,2.4432,6.3417,3.8985,1.176 11,100.31,
213,2.0247,849.03,10.163,911.35,,2798.5,1887.2,2.4526,6.3345,3.8819,1.177 82,98.394,
214,2.0650,847.79,10.361,915.94,,2798.9,1883.0,2.4619,6.3272,3.8653,1.179 54,96.516,
215,2.1058,846.54,10.562,920.53,,2799.3,1878.8,2.4712,6.3200,3.8488,1.181 28,94.679,
216,2.1473,845.29,10.766,925.12,,2799.7,1874.6,2.4805,6.3128,3.8323,1.183 03,92.884,
217,2.1894,844.03,10.973,929.73,,2800.0,1870.3,2.4898,6.3056,3.8158,1.184 79,91.129,
218,2.2322,842.77,11.184,934.34,,2800.3,1866.0,2.4991,6.2984,3.7993,1.186 57,89.413,
219,2.2756,841.50,11.398,938.96,,2800.7,1861.7,2.5084,6.2912,3.7828,1.188 36,87.734,
220,2.3196,840.22,11.615,943.58,,2800.9,1857.4,2.5177,6.2840,3.7663,1.190 17,86.092,
221,2.3643,838.94,11.836,948.21,,2801.2,1853.0,2.5269,6.2768,3.7499,1.191 98,84.486,
222,2.4096,837.65,12.060,952.85,,2801.5,1848.6,2.5362,6.2697,3.7335,1.193 82,82.916,
223,2.4556,836.35,12.288,957.49,,2801.7,1844.2,2.5455,6.2625,3.7171,1.195 67,81.379,
224,2.5023,835.05,12.520,962.14,,2801.9,1839.8,2.5547,6.2554,3.7007,1.197 53,79.875,
225,2.5497,833.75,12.755,966.80,,2802.1,1835.4,2.5640,6.2483,3.6843,1.199 40,78.403,
226,2.5978,832.43,12.993,971.46,,2802.3,1830.9,2.5732,6.2412,3.6680,1.201 30,76.964,
227,2.6466,831.12,13.235,976.13,,2802.5,1826.4,2.5824,6.2341,3.6516,1.203 20,75.554,
228,2.6960,829.79,13.482,980.81,,2802.7,1821.8,2.5917,6.2270,3.6353,1.205 12,74.175,
229,2.7462,828.46,13.732,985.50,,2802.8,1817.3,2.6009,6.2199,3.6190,1.207 06,72.825,
230,2.7971,827.12,13.985,990.19,,2802.9,1812.7,2.6101,6.2128,3.6027,1.209 02,71.503,
231,2.8487,825.77,14.243,994.89,,2803.0,1808.1,2.6193,6.2057,3.5864,1.210 98,70.210,
232,2.9010,824.42,14.505,999.60,,2803.1,1803.5,2.6285,6.1987,3.5702,1.212 97,68.943,
233,2.9541,823.06,14.771,1004.3,,2803.1,1798.8,2.6377,6.1916,3.5539,1.214 97,67.702,
234,3.0080,821.70,15.040,1009.0,,2803.2,1794.1,2.6469,6.1845,3.5376,1.216 99,66.488,
235,3.0625,820.33,15.314,1013.8,,2803.2,1789.4,2.6561,6.1775,3.5214,1.219 02,65.298,
236,3.1179,818.95,15.593,1018.5,,2803.2,1784.7,2.6653,6.1704,3.5052,1.221 08,64.133,
237,3.1740,817.56,15.875,1023.3,,2803.1,1779.9,2.6745,6.1634,3.4890,1.223 15,62.991,
238,3.2308,816.17,16.162,1028.0,,2803.1,1775.1,2.6836,6.1564,3.4727,1.225 23,61.873,
239,3.2885,814.77,16.453,1032.8,,2803.0,1770.3,2.6928,6.1493,3.4565,1.227 34,60.778,
240,3.3469,813.37,16.749,1037.6,,2803.0,1765.4,2.7020,6.1423,3.4403,1.229 46,59.705,
241,3.4062,811.95,17.049,1042.3,,2802.9,1760.5,2.7111,6.1353,3.4241,1.231 60,58.654,
242,3.4662,810.53,17.354,1047.1,,2802.7,1755.6,2.7203,6.1282,3.4079,1.233 76,57.623,
243,3.5270,809.10,17.664,1051.9,,2802.6,1750.7,2.7295,6.1212,3.3918,1.235 94,56.613,
244,3.5887,807.67,17.978,1056.7,,2802.4,1745.7,2.7386,6.1142,3.3756,1.238 13,55.624,
245,3.6512,806.22,18.297,1061.5,,2802.2,1740.7,2.7478,6.1072,3.3594,1.240 35,54.654,
246,3.7145,804.77,18.621,1066.4,,2802.0,1735.6,2.7569,6.1002,3.3432,1.242 59,53.703,
247,3.7786,803.32,18.950,1071.2,,2801.8,1730.6,2.7661,6.0931,3.3270,1.244 84,52.771,
248,3.8436,801.85,19.284,1076.1,,2801.5,1725.5,2.7752,6.0861,3.3109,1.247 12,51.857,
249,3.9095,800.38,19.623,1080.9,,2801.2,1720.3,2.7844,6.0791,3.2947,1.249 41,50.961,
250,3.9762,798.89,19.967,1085.8,,2800.9,1715.2,2.7935,6.0721,3.2785,1.251 73,50.083,
251,4.0438,797.40,20.316,1090.6,,2800.6,1710.0,2.8027,6.0650,3.2624,1.254 07,49.222,
252,4.1122,795.91,20.671,1095.5,,2800.3,1704.7,2.8118,6.0580,3.2462,1.256 43,48.377,
253,4.1815,794.40,21.031,1100.4,,2799.9,1699.5,2.8210,6.0510,3.2300,1.258 81,47.548,
254,4.2518,792.89,21.397,1105.3,,2799.5,1694.2,2.8301,6.0439,3.2138,1.261 21,46.736,
255,4.3229,791.37,21.768,1110.2,,2799.1,1688.8,2.8392,6.0369,3.1977,1.263 64,45.938,
256,4.3949,789.83,22.145,1115.2,,2798.6,1683.5,2.8484,6.0298,3.1815,1.266 09,45.156,
257,4.4679,788.30,22.528,1120.1,,2798.2,1678.1,2.8575,6.0228,3.1653,1.268 56,44.389,
258,4.5417,786.75,22.917,1125.0,,2797.7,1672.6,2.8667,6.0157,3.1491,1.271 06,43.637,
259,4.6165,785.19,23.311,1130.0,,2797.1,1667.2,2.8758,6.0087,3.1329,1.273 58,42.898,
260,4.6923,783.63,23.712,1135.0,,2796.6,1661.6,2.8849,6.0016,3.1167,1.276 12,42.173,
261,4.7689,782.05,24.118,1139.9,,2796.0,1656.1,2.8941,5.9945,3.1004,1.278 69,41.462,
262,4.8466,780.47,24.531,1144.9,,2795.4,1650.5,2.9032,5.9874,3.0842,1.281 28,40.764,
263,4.9252,778.88,24.951,1149.9,,2794.8,1644.9,2.9124,5.9804,3.0680,1.283 90,40.079,
264,5.0047,777.27,25.377,1154.9,,2794.2,1639.2,2.9215,5.9732,3.0517,1.286 55,39.406,
265,5.0853,775.66,25.809,1160.0,,2793.5,1633.5,2.9307,5.9661,3.0354,1.289 22,38.746,
266,5.1668,774.04,26.248,1165.0,,2792.8,1627.8,2.9398,5.9590,3.0192,1.291 92,38.098,
267,5.2494,772.41,26.694,1170.0,,2792.1,1622.0,2.9490,5.9519,3.0029,1.294 65,37.462,
268,5.3329,770.77,27.147,1175.1,,2791.3,1616.2,2.9582,5.9447,2.9866,1.297 40,36.837,
269,5.4174,769.12,27.606,1180.2,,2790.5,1610.3,2.9673,5.9376,2.9703,1.300 19,36.223,
270,5.5030,767.46,28.073,1185.3,,2789.7,1604.4,2.9765,5.9304,2.9539,1.303 00,35.621,
271,5.5896,765.79,28.548,1190.4,,2788.8,1598.5,2.9857,5.9232,2.9376,1.305 84,35.029,
272,5.6772,764.11,29.029,1195.5,,2788.0,1592.5,2.9948,5.9160,2.9212,1.308 71,34.448,
273,5.7659,762.42,29.518,1200.6,,2787.1,1586.5,3.0040,5.9088,2.9048,1.311 61,33.877,
274,5.8556,760.72,30.015,1205.7,,2786.1,1580.4,3.0132,5.9016,2.8884,1.314 55,33.317,
275,5.9464,759.00,30.520,1210.9,2785.2,,1574.3,3.0224,5.8944,2.8720,1.317 51,32.766,
276,6.0383,757.28,31.032,1216.1,2784.2,,1568.1,3.0316,5.8871,2.8555,1.320 51,32.225,
277,6.1312,755.55,31.553,1221.3,2783.1,,1561.9,3.0408,5.8798,2.8390,1.323 54,31.693,
278,6.2252,753.80,32.082,1226.4,2782.1,,1555.6,3.0500,5.8725,2.8225,1.326 61,31.171,
279,6.3203,752.04,32.619,1231.7,2781.0,,1549.3,3.0592,5.8652,2.8060,1.329 71,30.657,
280,6.4166,750.28,33.165,1236.9,2779.9,,1543.0,3.0685,5.8579,2.7894,1.332 84,30.153,
281,6.5139,748.49,33.719,1242.1,2778.7,,1536.6,3.0777,5.8506,2.7729,1.336 02,29.657,
282,6.6124,746.70,34.283,1247.4,2777.5,,1530.1,3.0869,5.8432,2.7563,1.339 22,29.169,
283,6.7120,744.90,34.855,1252.7,2776.3,,1523.6,3.0962,5.8358,2.7396,1.342 47,28.690,
284,6.8128,743.08,35.437,1257.9,2775.0,,1517.1,3.1054,5.8284,2.7229,1.345 75,28.219,
285,6.9147,741.25,36.028,1263.2,2773.7,,1510.5,3.1147,5.8209,2.7062,1.349 07,27.756,
286,7.0177,739.41,36.629,1268.6,2772.4,,1503.8,3.1240,5.8135,2.6895,1.352 43,27.301,
287,7.1220,737.55,37.239,1273.9,2771.0,,1497.1,3.1333,5.8060,2.6727,1.355 84,26.853,
288,7.2274,735.68,37.860,1279.3,2769.6,,1490.4,3.1426,5.7985,2.6559,1.359 28,26.413,
289,7.3340,733.80,38.490,1284.6,2768.2,,1483.5,3.1519,5.7909,2.6390,1.362 77,25.981,
290,7.4418,731.91,39.132,1290.0,2766.7,,1476.7,3.1612,5.7834,2.6222,1.366 30,25.555,
291,7.5508,730.00,39.783,1295.4,2765.2,,1469.7,3.1705,5.7758,2.6052,1.369 87,25.136,
292,7.6610,728.07,40.446,1300.9,2763.6,,1462.7,3.1799,5.7681,2.5883,1.373 49,24.724,
293,7.7725,726.13,41.120,1306.3,2762.0,,1455.7,3.1892,5.7605,2.5712,1.377 16,24.319,
294,7.8852,724.18,41.805,1311.8,2760.4,,1448.6,3.1986,5.7528,2.5542,1.380 87,23.921,
295,7.9991,722.21,42.501,1317.3,2758.7,,1441.4,3.2080,5.7451,2.5371,1.384 64,23.529,
296,8.1143,720.23,43.210,1322.8,2757.0,,1434.2,3.2174,5.7373,2.5199,1.388 45,23.143,
297,8.2308,718.23,43.931,1328.3,2755.2,,1426.9,3.2268,5.7295,2.5027,1.392 31,22.763,
298,8.3485,716.21,44.664,1333.8,2753.4,,1419.5,3.2362,5.7217,2.4854,1.396 23,22.390,
299,8.4676,714.18,45.409,1339.4,2751.5,,1412.1,3.2457,5.7138,2.4681,1.400 20,22.022,
300,8.5879,712.14,46.168,1345.0,2749.6,,1404.6,3.2552,5.7059,2.4507,1.404 23,21.660,
301,8.7095,710.07,46.940,1350.6,2747.7,,1397.1,3.2647,5.6979,2.4333,1.408 31,21.304,
302,8.8325,707.99,47.725,1356.3,2745.7,,1389.4,3.2742,5.6899,2.4158,1.412 45,20.953,
303,8.9568,705.89,48.525,1361.9,2743.7,,1381.7,3.2837,5.6819,2.3982,1.416 65,20.608,
304,9.0824,703.77,49.338,1367.6,2741.6,,1374.0,3.2932,5.6738,2.3806,1.420 91,20.268,
305,9.2094,701.64,50.167,1373.3,2739.4,,1366.1,3.3028,5.6657,2.3629,1.425 24,19.933,
306,9.3378,699.48,51.010,1379.0,2737.2,,1358.2,3.3124,5.6575,2.3452,1.429 63,19.604,
307,9.4675,697.31,51.869,1384.8,2735.0,,1350.2,3.3220,5.6493,2.3273,1.434 08,19.279,
308,9.5986,695.12,52.743,1390.6,2732.7,,1342.1,3.3316,5.6411,2.3094,1.438 61,18.960,
309,9.7311,692.90,53.634,1396.4,2730.4,,1334.0,3.3413,5.6327,2.2915,1.443 20,18.645,
310,9.8651,690.67,54.541,1402.2,2727.9,,1325.7,3.3510,5.6244,2.2734,1.447 87,18.335,
311,10.000,688.42,55.466,1408.1,2725.5,,1317.4,3.3607,5.6159,2.2553,1.452 61,18.029,
312,10.137,686.14,56.408,1414.0,2723.0,,1309.0,3.3704,5.6074,2.2370,1.457 43,17.728,
313,10.275,683.84,57.368,1419.9,2720.4,,1300.5,3.3802,5.5989,2.2187,1.462 32,17.431,
314,10.415,681.52,58.346,1425.8,2717.8,,1291.9,3.3900,5.5903,2.2003,1.467 30,17.139,
315,10.556,679.18,59.344,1431.8,2715.1,,1283.2,3.3998,5.5816,2.1818,1.472 36,16.851,
316,10.699,676.81,60.361,1437.8,2712.3,,1274.5,3.4097,5.5729,2.1632,1.477 51,16.567,
317,10.843,674.42,61.398,1443.9,2709.5,,1265.6,3.4195,5.5641,2.1445,1.482 75,16.287,
318,10.989,672.00,62.457,1450.0,2706.6,,1256.6,3.4295,5.5552,2.1257,1.488 09,16.011,
319,11.136,669.56,63.537,1456.1,2703.6,,1247.5,3.4394,5.5462,2.1068,1.493 51,15.739,
320,11.284,667.09,64.638,1462.2,2700.6,,1238.4,3.4494,5.5372,2.0878,1.499 04,15.471,
321,11.434,664.60,65.763,1468.4,2697.5,,1229.1,3.4595,5.5281,2.0686,1.504 67,15.206,
322,11.586,662.07,66.912,1474.6,2694.3,,1219.7,3.4695,5.5189,2.0494,1.510 40,14.945,
323,11.740,659.52,68.084,1480.9,2691.1,,1210.2,3.4797,5.5096,2.0300,1.516 25,14.688,
324,11.895,656.94,69.282,1487.2,2687.7,,1200.6,3.4898,5.5003,2.0105,1.522 21,14.434,
325,12.051,654.33,70.506,1493.5,2684.3,,1190.8,3.5000,5.4908,1.9908,1.528 29,14.183,
326,12.209,651.68,71.757,1499.9,2680.8,,1180.9,3.5103,5.4813,1.9710,1.534 49,13.936,
327,12.369,649.01,73.036,1506.3,2677.3,,1170.9,3.5206,5.4717,1.9511,1.540 81,13.692,
328,12.530,646.30,74.344,1512.8,2673.6,,1160.8,3.5309,5.4619,1.9310,1.547 27,13.451,
329,12.693,643.55,75.682,1519.3,2669.9,,1150.6,3.5413,5.4521,1.9108,1.553 87,13.213,
330,12.858,640.77,77.050,1525.9,2666.0,,1140.2,3.5518,5.4422,1.8903,1.560 61,12.979,
331,13.024,637.96,78.452,1532.5,2662.1,,1129.6,3.5623,5.4321,1.8698,1.567 51,12.747,
332,13.193,635.10,79.887,1539.1,2658.1,,1118.9,3.5729,5.4219,1.8490,1.574 56,12.518,
333,13.362,632.20,81.356,1545.9,2653.9,,1108.1,3.5835,5.4116,1.8281,1.581 77,12.292,
334,13.534,629.27,82.863,1552.6,2649.7,,1097.1,3.5943,5.4012,1.8069,1.589 15,12.068,
335,13.707,626.29,84.407,1559.5,2645.4,,1085.9,3.6050,5.3906,1.7856,1.596 71,11.847,
336,13.882,623.26,85.991,1566.3,2640.9,,1074.6,3.6159,5.3799,1.7640,1.604 47,11.629,
337,14.059,620.19,87.616,1573.3,2636.3,,1063.0,3.6268,5.3691,1.7422,1.612 41,11.413,
338,14.238,617.07,89.284,1580.3,2631.6,,1051.3,3.6378,5.3581,1.7202,1.620 57,11.200,
339,14.418,613.89,90.998,1587.4,2626.8,,1039.4,3.6489,5.3469,1.6980,1.628 95,10.989,
340,14.601,610.67,92.759,1594.5,2621.8,,1027.3,3.6601,5.3356,1.6755,1.637 55,10.781,
341,14.785,607.38,94.570,1601.8,2616.8,,1015.0,3.6714,5.3241,1.6527,1.646 40,10.574,
342,14.971,604.04,96.433,1609.1,2611.5,,1002.5,3.6828,5.3124,1.6296,1.655 51,10.370,
343,15.159,600.64,98.351,1616.4,2606.1,,989.7,3.6943,5.3005,1.6063,1.664 90,10.168,
344,15.349,597.17,100.33,1623.9,2600.6,,976.7,3.7059,5.2885,1.5826,1.674 57,9.9674,
345,15.541,593.63,102.36,1631.5,2594.9,,963.4,3.7176,5.2762,1.5586,1.684 56,9.7690,
346,15.734,590.01,104.47,1639.1,2589.0,,949.9,3.7295,5.2636,1.5342,1.694 88,9.5724,
347,15.930,586.32,106.64,1646.9,2583.0,,936.1,3.7414,5.2509,1.5094,1.705 56,9.3776,
348,16.128,582.54,108.88,1654.8,2576.7,,922.0,3.7536,5.2379,1.4843,1.716 62,9.1844,
349,16.328,578.67,111.20,1662.8,2570.3,,907.5,3.7659,5.2246,1.4587,1.728 10,8.9927,
350,16.529,574.71,113.61,1670.9,2563.6,,892.7,3.7784,5.2110,1.4326,1.740 02,8.8024,
351,16.733,570.64,116.10,1679.1,2556.8,,877.6,3.7910,5.1971,1.4061,1.752 43,8.6134,
352,16.939,566.46,118.68,1687.5,2549.6,,862.1,3.8039,5.1829,1.3790,1.765 36,8.4257,
353,17.147,562.15,121.37,1696.1,2542.3,,846.2,3.8170,5.1683,1.3514,1.778 88,8.2390,
354,17.358,557.72,124.17,1704.8,2534.6,,829.8,3.8303,5.1534,1.3231,1.793 02,8.0533,
355,17.570,553.14,127.09,1713.7,2526.6,,812.9,3.8439,5.1380,1.2942,1.807 86,7.8684,
356,17.785,548.41,130.14,1722.8,2518.4,,795.5,3.8577,5.1222,1.2645,1.823 47,7.6841,
357,18.002,543.50,133.33,1732.2,2509.8,,777.6,3.8719,5.1059,1.2340,1.839 93,7.5003,
358,18.221,538.41,136.67,1741.7,2500.8,,759.0,3.8864,5.0891,1.2026,1.857 33,7.3168,
359,18.442,533.11,140.19,1751.5,2491.4,,739.8,3.9014,5.0717,1.1703,1.875 78,7.1332,
360,18.666,527.59,143.90,1761.7,2481.5,,719.8,3.9167,5.0536,1.1369,1.895 41,6.9493,
361,18.892,521.82,147.82,1772.1,2471.1,,699.0,3.9325,5.0347,1.1023,1.916 35,6.7649,
362,19.121,515.79,151.99,1782.9,2460.2,,677.3,3.9488,5.0151,1.0663,1.938 79,6.5795,
363,19.352,509.45,156.43,1794.1,2448.6,,654.5,3.9656,4.9945,1.0288,1.962 90,6.3925,
364,19.585,502.78,161.20,1805.7,2436.2,,630.5,3.9831,4.9727,0.9896,1.988 94,6.2035,
365,19.821,495.74,166.35,1817.8,2422.9,,605.2,4.0014,4.9497,0.9483,2.0172,6.0115,
366,20.060,488.27,171.95,1830.5,2408.7,,578.2,4.0205,4.9251,0.9046,2.0480,5.8157,
367,20.302,480.29,178.11,1843.8,2393.1,,549.2,4.0406,4.8986,0.8580,2.0821,5.6145,
368,20.546,471.67,184.98,1858.1,2375.9,,517.8,4.0621,4.8697,0.8076,2.1201,5.4061,
369,20.793,462.18,192.77,1873.5,2356.6,,483.1,4.0853,4.8376,0.7523,2.1636,5.1875,
370,21.044,451.43,201.84,1890.7,2334.5,,443.8,4.1112,4.8012,0.6901,2.2152,4.9544,
371,21.297,438.64,212.79,1910.6,2308.3,,397.7,4.1412,4.7586,0.6175,2.2798,4.6995,
372,21.554,422.26,226.84,1935.3,2275.5,,340.3,4.1785,4.7059,0.5274,2.3682,4.4084,
373,21.814,398.68,247.22,1969.7,2229.8,,260.1,4.2308,4.6334,0.4026,2.5083,4.0450,
tc,22.064,322.00,322.00,2084.3,2084.3,,0.,4.4070,4.4070,0.,3.1056,3.1056,
(tc  = 373.946 C),,,,,,,,,,,,,
